,Gene,Border,Divide,Uninfect,Infect
290,Plate_07/Scramble/001003-4,34,3,126,12
291,Plate_07/Scramble/001003-5,32,2,101,19
292,Plate_07/Scramble/001022-1,22,3,66,9
293,Plate_07/Scramble/001022-10,26,3,92,7
294,Plate_07/Scramble/001022-5,28,3,96,10
295,Plate_07/Scramble/001022-9,26,5,102,9
296,Plate_07/Scramble/008001-1,24,2,98,17
297,Plate_07/Scramble/008001-10,33,3,105,12
298,Plate_07/Scramble/008001-11,31,2,100,12
299,Plate_07/Scramble/008001-5,31,1,111,8
300,Plate_07/Scramble/008024-1,30,2,115,8
301,Plate_07/Scramble/008024-4,26,6,110,7
302,Plate_07/Scramble/008024-5,28,5,122,8
303,Plate_07/Scramble/008024-9,24,1,130,11
304,Plate_07/Scramble/011003-10,19,2,83,7
305,Plate_07/Scramble/011003-11,26,0,80,14
306,Plate_07/Scramble/011003-2,31,1,97,13
307,Plate_07/Scramble/011003-5,31,3,82,6
308,Plate_07/Scramble/011022-1,32,7,83,20
309,Plate_07/Scramble/011022-10,35,1,91,11
310,Plate_07/Scramble/011022-5,34,3,120,14
311,Plate_07/Scramble/011022-6,27,2,105,16
